type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,fps,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d,3,0,290.0,644.4257186673591,250.4657049994421,1391.9893600013893,173.0,0.09801539061934039,0.0,290,290,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/d,4,0,3,101.49741575014559,1.237448001120356,356.1330470001849,0.0,0.13068718749245387,0.0,45,45,360,360,360,360,360,360,360,360,360
GET,/d,3,0,220.0,181.78555933324483,4.7012960003485205,323.7048319988389,0.0,0.09801539061934039,0.0,220,220,320,320,320,320,320,320,320,320,320
GET,/d,2,0,170.0,234.8942069993427,165.86759100027848,303.92082299840695,0.0,0.06534359374622693,0.0,300,300,300,300,300,300,300,300,300,300,300
GET,/d,3,0,2,29.02517433297665,1.3803429992549354,83.28384000014921,467.0,0.09801539061934039,0.0,2,2,83,83,83,83,83,83,83,83,83
GET,/d,2,0,9.214159999828553,111.62427899944305,9.214159999828553,214.03439799905755,213.0,0.06534359374622693,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/d,3,0,3,4.040271667084501,2.0947499997419072,6.568712000444066,0.0,0.09801539061934039,0.0,3,3,7,7,7,7,7,7,7,7,7
GET,/d,3,0,62,113.45888133291737,2.663745999598177,275.33897799912666,180.0,0.09801539061934039,0.0,62,62,280,280,280,280,280,280,280,280,280
GET,/d,2,0,55,108.52234849971865,54.83273800018651,162.21195899925078,0.0,0.06534359374622693,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/d,2,0,5.232299999988754,98.27925199988385,5.232299999988754,191.32620399977895,735.0,0.06534359374622693,0.0,190,190,190,190,190,190,190,190,190,190,190
GET,/d,1,0,8.50478200118232,8.50478200118232,8.50478200118232,8.50478200118232,0.0,0.032671796873113466,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/d,5,0,26,116.95031220042438,4.244046000167145,354.8122779993719,159.0,0.16335898436556734,0.0,26,200,200,350,350,350,350,350,350,350,350
GET,/d,1,0,457.8260689995659,457.8260689995659,457.8260689995659,457.8260689995659,210.0,0.032671796873113466,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/d,2,0,32,152.38588450029056,31.561343999783276,273.21042500079784,272.0,0.06534359374622693,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/d,3,0,370.0,535.4847529997642,2.774304999547894,1237.3699159998068,191.0,0.09801539061934039,0.0,370,370,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/d,1,0,73.66886099953263,73.66886099953263,73.66886099953263,73.66886099953263,220.0,0.032671796873113466,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/d,2,0,3,202.00364400079707,2.968464001241955,401.0388240003522,209.0,0.06534359374622693,0.0,400,400,400,400,400,400,400,400,400,400,400
GET,/d,1,0,224.31126199990103,224.31126199990103,224.31126199990103,224.31126199990103,219.0,0.032671796873113466,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/d,1,0,70.56099299916241,70.56099299916241,70.56099299916241,70.56099299916241,214.0,0.032671796873113466,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/d,2,0,39.23019600006228,163.28877199975977,39.23019600006228,287.34734799945727,351.0,0.06534359374622693,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/d,5,0,9,125.49322740014759,2.3972320013854187,546.5603930006182,428.0,0.16335898436556734,0.0,9,66,66,550,550,550,550,550,550,550,550
GET,/d,4,0,120.0,156.4972835003573,5.241238000962767,319.31160600106523,446.0,0.13068718749245387,0.0,180,180,320,320,320,320,320,320,320,320,320
GET,/d,1,0,2.1988829994370462,2.1988829994370462,2.1988829994370462,2.1988829994370462,421.0,0.032671796873113466,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/d,4,0,55,218.13350450020152,6.803029000366223,541.4174210000056,254.0,0.13068718749245387,0.0,270,270,540,540,540,540,540,540,540,540,540
