type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,fps,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d,1,0,116.02535999918473,116.02535999918473,116.02535999918473,116.02535999918473,219.0,0.03247457974037069,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/d,2,0,3.0309719986689743,26.23412999946595,3.0309719986689743,49.437288000262924,214.0,0.06494915948074138,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/d,3,0,150.0,510.6718876662247,2.249168999696849,1376.3293259999045,351.0,0.09742373922111208,0.0,150,150,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/d,5,0,110.0,186.85869319997437,2.758172000540071,620.6536739991861,237.0,0.16237289870185348,0.0,110,170,170,620,620,620,620,620,620,620,620
GET,/d,2,0,270.0,341.7896690007183,265.75465600035386,417.8246820010827,421.0,0.06494915948074138,0.0,420,420,420,420,420,420,420,420,420,420,420
GET,/d,2,0,2.2574790000362555,32.525955999517464,2.2574790000362555,62.79443299899867,0.0,0.06494915948074138,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/d,4,0,47,314.1203879999921,4.4496570008050185,613.1881989986141,0.0,0.12989831896148277,0.0,590,590,610,610,610,610,610,610,610,610,610
GET,/d,2,0,2,68.40115149952908,1.886342999569024,134.91595999948913,220.0,0.06494915948074138,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/d,1,0,538.4173139991617,538.4173139991617,538.4173139991617,538.4173139991617,398.0,0.03247457974037069,0.0,540,540,540,540,540,540,540,540,540,540,540
GET,/d,2,0,38.27832900060457,98.88983800010465,38.27832900060457,159.50134699960472,1300.0,0.06494915948074138,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/d,1,0,27.791800001068623,27.791800001068623,27.791800001068623,27.791800001068623,0.0,0.03247457974037069,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/d,5,0,55,70.59792520012707,3.0181910005921964,155.9654929988028,0.0,0.16237289870185348,0.0,55,110,110,160,160,160,160,160,160,160,160
GET,/d,1,0,2.0327999991422985,2.0327999991422985,2.0327999991422985,2.0327999991422985,0.0,0.03247457974037069,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/d,3,0,50,37.94239200033189,2.4938930000644177,61.01348000083817,185.0,0.09742373922111208,0.0,50,50,61,61,61,61,61,61,61,61,61
GET,/d,1,0,2.1473400011018384,2.1473400011018384,2.1473400011018384,2.1473400011018384,0.0,0.03247457974037069,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/d,2,0,100.37672399994335,150.31390200056194,100.37672399994335,200.25108000118053,0.0,0.06494915948074138,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/d,1,0,49.32519300018612,49.32519300018612,49.32519300018612,49.32519300018612,0.0,0.03247457974037069,0.0,49,49,49,49,49,49,49,49,49,49,49
GET,/d,1,0,47.36509800022759,47.36509800022759,47.36509800022759,47.36509800022759,420.0,0.03247457974037069,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/d,2,0,67.15155100027914,72.3290249998172,67.15155100027914,77.50649899935524,0.0,0.06494915948074138,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/d,2,0,62,67.85209400095482,61.72607100052119,73.97811700138845,0.0,0.06494915948074138,0.0,74,74,74,74,74,74,74,74,74,74,74
GET,/d,1,0,9.681956998974783,9.681956998974783,9.681956998974783,9.681956998974783,458.0,0.03247457974037069,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/d,1,0,118.07073299860349,118.07073299860349,118.07073299860349,118.07073299860349,349.0,0.03247457974037069,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/d,3,0,41,82.61657566678575,2.0132440004090313,204.85564599948702,382.0,0.09742373922111208,0.0,41,41,200,200,200,200,200,200,200,200,200
GET,/d,3,0,16,16.25194899982792,1.7683109999779845,31.17847399880702,0.0,0.09742373922111208,0.0,16,16,31,31,31,31,31,31,31,31,31
GET,/d,2,0,6,79.23793350073538,5.520883001736365,152.9549839997344,181.0,0.06494915948074138,0.0,150,150,150,150,150,150,150,150,150,150,150
